timestamp,consumption,meter_id,location,temperature,humidity,season,time_of_day
2025-01-01 00:00:00,45.2,meter001,residential,5.3,78,winter,night
2025-01-01 01:00:00,42.8,meter001,residential,4.9,79,winter,night
2025-01-01 02:00:00,41.5,meter001,residential,4.5,80,winter,night
2025-01-01 03:00:00,40.2,meter001,residential,4.2,81,winter,night
2025-01-01 04:00:00,43.7,meter001,residential,3.8,82,winter,night
2025-01-01 05:00:00,52.6,meter001,residential,3.5,82,winter,night
2025-01-01 06:00:00,68.3,meter001,residential,3.2,81,winter,morning
2025-01-01 07:00:00,79.5,meter001,residential,3.5,80,winter,morning
2025-01-01 08:00:00,75.2,meter001,residential,4.1,78,winter,morning
2025-01-01 09:00:00,65.8,meter001,residential,5.3,75,winter,morning
2025-01-01 10:00:00,60.2,meter001,residential,6.7,72,winter,morning
2025-01-01 11:00:00,58.9,meter001,residential,7.9,68,winter,morning
2025-01-01 12:00:00,56.4,meter001,residential,8.6,65,winter,afternoon
2025-01-01 13:00:00,54.2,meter001,residential,9.1,62,winter,afternoon
2025-01-01 14:00:00,53.8,meter001,residential,9.3,60,winter,afternoon
2025-01-01 15:00:00,55.6,meter001,residential,9.2,61,winter,afternoon
2025-01-01 16:00:00,61.7,meter001,residential,8.7,63,winter,afternoon
2025-01-01 17:00:00,72.5,meter001,residential,7.8,65,winter,afternoon
2025-01-01 18:00:00,85.2,meter001,residential,6.9,68,winter,evening
2025-01-01 19:00:00,88.7,meter001,residential,6.1,70,winter,evening
2025-01-01 20:00:00,82.3,meter001,residential,5.4,72,winter,evening
2025-01-01 21:00:00,72.1,meter001,residential,4.8,75,winter,evening
2025-01-01 22:00:00,60.5,meter001,residential,4.3,77,winter,night
2025-01-01 23:00:00,50.8,meter001,residential,4.0,78,winter,night
2025-01-02 00:00:00,46.3,meter001,residential,3.8,79,winter,night
2025-01-02 01:00:00,43.5,meter001,residential,3.5,80,winter,night
2025-01-02 02:00:00,42.1,meter001,residential,3.3,81,winter,night
2025-01-02 03:00:00,40.9,meter001,residential,3.0,82,winter,night
2025-01-02 04:00:00,44.2,meter001,residential,2.8,83,winter,night
2025-01-02 05:00:00,53.1,meter001,residential,2.6,83,winter,night
2025-01-02 06:00:00,69.7,meter001,residential,2.7,82,winter,morning
2025-01-02 07:00:00,81.2,meter001,residential,3.1,80,winter,morning
2025-01-02 08:00:00,76.8,meter001,residential,3.9,77,winter,morning
2025-01-02 09:00:00,67.2,meter001,residential,5.0,74,winter,morning
2025-01-02 10:00:00,61.5,meter001,residential,6.2,70,winter,morning
2025-01-02 11:00:00,59.2,meter001,residential,7.3,67,winter,morning
2025-01-02 12:00:00,57.1,meter001,residential,8.0,64,winter,afternoon
2025-01-01 00:00:00,320.5,meter002,commercial,5.3,78,winter,night
2025-01-01 01:00:00,315.2,meter002,commercial,4.9,79,winter,night
2025-01-01 02:00:00,310.8,meter002,commercial,4.5,80,winter,night
2025-01-01 03:00:00,308.3,meter002,commercial,4.2,81,winter,night
2025-01-01 04:00:00,312.6,meter002,commercial,3.8,82,winter,night
2025-01-01 05:00:00,325.1,meter002,commercial,3.5,82,winter,night
2025-01-01 06:00:00,385.7,meter002,commercial,3.2,81,winter,morning
2025-01-01 07:00:00,450.2,meter002,commercial,3.5,80,winter,morning
2025-01-01 08:00:00,520.8,meter002,commercial,4.1,78,winter,morning
2025-01-01 09:00:00,578.3,meter002,commercial,5.3,75,winter,morning
2025-01-01 10:00:00,590.7,meter002,commercial,6.7,72,winter,morning
2025-01-01 11:00:00,595.2,meter002,commercial,7.9,68,winter,morning
2025-01-01 12:00:00,598.6,meter002,commercial,8.6,65,winter,afternoon
2025-01-01 13:00:00,602.3,meter002,commercial,9.1,62,winter,afternoon
2025-01-01 14:00:00,601.5,meter002,commercial,9.3,60,winter,afternoon
2025-01-01 15:00:00,595.8,meter002,commercial,9.2,61,winter,afternoon
2025-01-01 16:00:00,580.2,meter002,commercial,8.7,63,winter,afternoon
2025-01-01 17:00:00,550.5,meter002,commercial,7.8,65,winter,afternoon
2025-01-01 18:00:00,485.3,meter002,commercial,6.9,68,winter,evening
2025-01-01 19:00:00,425.7,meter002,commercial,6.1,70,winter,evening
2025-01-01 20:00:00,385.2,meter002,commercial,5.4,72,winter,evening
2025-01-01 21:00:00,360.8,meter002,commercial,4.8,75,winter,evening
2025-01-01 22:00:00,340.3,meter002,commercial,4.3,77,winter,night
2025-01-01 23:00:00,328.6,meter002,commercial,4.0,78,winter,night
2025-01-01 00:00:00,850.2,meter003,industrial,5.3,78,winter,night
2025-01-01 01:00:00,845.7,meter003,industrial,4.9,79,winter,night
2025-01-01 02:00:00,842.3,meter003,industrial,4.5,80,winter,night
2025-01-01 03:00:00,840.5,meter003,industrial,4.2,81,winter,night
